c0,c1,s0,s1,r
17,20,29891765,39631028,0.922452245902873
10,9,11127532,140844079,0.757870265345988
1,3,235081508,136894501,0.856297602803426
6,13,109164753,27034803,0.768508146084775
9,19,117020208,8212517,0.663046980772018
2,14,11408761,55111962,0.820295758552534
13,7,115064050,140344874,0.656836018291941
17,4,42464298,139234256,0.718058756521713
8,19,123892937,3120573,0.610758335487724
12,21,39236324,34691622,0.608757974597672
3,21,13538902,41748496,0.880868472461985
6,7,26642057,89785338,0.675059530013727
8,14,143079059,23502632,0.806434198736251
6,16,44170984,47055963,0.827459178646753
3,21,133960025,42644004,0.779726593534723
17,20,79822817,39341488,0.663220891659602
3,6,138588436,168688768,0.865653163442102
1,15,55798507,83538134,0.686702673110863
1,9,153750081,139224421,0.734022211453005
15,6,55618275,97672611,0.715198327355032
8,1,119821638,35280533,0.755136339315506
14,10,70531095,89127749,0.906688306601228
14,20,21295503,14486710,0.976748645736237
16,22,1764395,48113341,0.697164639839966
4,7,177461634,158685300,0.866118066152254
22,4,38438929,37529606,0.604295070323935
22,14,29386603,93108534,0.769544168446248
11,18,32007450,19290915,0.653350304134762
11,16,65391076,88478153,0.854329112312124
19,19,10437960,3701732,0.737091462342478
12,14,13219490,74538804,0.983966724284162
16,1,13880706,4225498,0.667401573704061
9,18,113430313,30862001,0.641097048693828
15,22,81730578,27221639,0.608848868079343
18,6,56881610,145569755,0.873372178829467
12,10,29283408,38026105,0.766311767329752
16,9,73300889,65833660,0.715704672920713
3,19,102838021,58415781,0.626657665963521
15,6,30404284,29661573,0.60819317511606
16,20,74586861,10463533,0.613333435475258
19,13,53199686,112690206,0.867130287457515
5,16,59957260,32938767,0.634399794613053
6,7,167100324,5412373,0.747352370163507
6,1,30875227,110679426,0.817374621498375
7,22,31455083,29036569,0.853632205172328
4,20,134426482,47824032,0.655720459260781
16,18,77656569,56821251,0.663624588575744
6,17,30526537,71215224,0.876424792313841
21,18,45367390,75278961,0.643934598146937
18,13,11631761,108023017,0.67735334302763
13,14,28556765,95528110,0.862255167857071
10,15,130711499,76644842,0.914812507001214
2,20,113967166,24679742,0.624300993969783
21,5,37545001,34859751,0.759808276154942
13,20,29863677,2840431,0.608467887917994
12,22,17818740,29148773,0.623509005989232
17,16,17271681,58355738,0.709242903676861
7,2,139205508,9085489,0.979963457306518
7,7,101827379,100723136,0.774645886577285
7,21,56381829,34010561,0.741662520517583
10,5,15593493,177755092,0.888230152085954
5,3,176307715,98753715,0.6119022178976
21,2,42900875,102362902,0.896323048361045
13,16,29891588,16222198,0.859715087030403
10,5,96455883,99971183,0.620493053337029
4,18,900518,11895516,0.761055917188932
12,5,7305114,145758845,0.648019764736548
5,13,118097999,22467434,0.959090777605854
8,18,25259875,33651112,0.6478737926915
14,12,22776869,18192040,0.91372786266954
8,3,55016339,116038360,0.629472494117477
16,16,51133655,74616024,0.671032397370195
12,1,95152658,174531238,0.855479169394043
20,20,43978210,2767775,0.78693889305187
3,2,51935072,82906815,0.855093411855956
18,16,11944889,28391597,0.681172541099187
3,19,52520689,2716185,0.755314801996351
22,3,21669297,72554969,0.939360408979513
17,11,60162995,39981203,0.875230385939941
14,11,106384750,61511679,0.722853706765444
3,4,111732743,1877709,0.66516247545582
4,21,7072591,47877127,0.622697083662006
18,14,51299626,19602162,0.613113206257675
14,4,85618203,44680001,0.634661595678413
2,3,120842162,87993880,0.804280532529288
18,19,10834704,38721732,0.617089239568372
20,7,52474510,151543735,0.738968752058351
9,9,17184103,16877649,0.700384634271336
6,4,150713737,184753358,0.770133231949539
2,2,61840176,187018774,0.728574384546452
1,17,26846043,66363907,0.711124785161307
20,20,49364894,62776057,0.636409511517224
5,10,6106037,13966247,0.853290489385819
16,4,11113411,185821175,0.651381034792535
3,18,190190885,18984928,0.928951752645144
15,17,42894051,72898721,0.689641161030615
21,7,42395813,33836803,0.648294525123217
19,3,50795641,128468961,0.830968343436762
13,4,106631677,182985391,0.601988648350615
3,8,179548689,35970908,0.804315421919177
